USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND Unixtime File Function Line
root     24472  7.2  0.6  49620 14100 pts/19   S+   10:26  27:27 ./EXEfile 1490859916 Source.cpp main 1154
root     24472  7.2  0.6  49620 14100 pts/19   S+   10:26  27:27 ./EXEfile 1490859916 Source.cpp main 883
root     24472  7.1  0.6  49620 14100 pts/19   S+   10:26  29:18 ./EXEfile 1490861700 Source.cpp main 1073
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  29:18 ./EXEfile 1490861700 Source.cpp main 1081
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  29:18 ./EXEfile 1490861716 Source.cpp main 1154
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  29:18 ./EXEfile 1490861716 Source.cpp main 883
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  31:17 ./EXEfile 1490863500 Source.cpp main 1073
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  31:17 ./EXEfile 1490863500 Source.cpp main 1081
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  31:18 ./EXEfile 1490863516 Source.cpp main 1154
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  31:18 ./EXEfile 1490863516 Source.cpp main 883
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  33:20 ./EXEfile 1490865300 Source.cpp main 1073
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  33:20 ./EXEfile 1490865300 Source.cpp main 1081
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  33:20 ./EXEfile 1490865316 Source.cpp main 1154
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  33:20 ./EXEfile 1490865316 Source.cpp main 883
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  35:24 ./EXEfile 1490867100 Source.cpp main 1073
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  35:24 ./EXEfile 1490867100 Source.cpp main 1081
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  35:25 ./EXEfile 1490867116 Source.cpp main 1154
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  35:25 ./EXEfile 1490867116 Source.cpp main 883
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  37:31 ./EXEfile 1490868900 Source.cpp main 1073
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  37:31 ./EXEfile 1490868900 Source.cpp main 1081
root     24472  7.0  0.6  49620 14152 pts/19   S+   10:26  37:31 ./EXEfile 1490868916 Source.cpp main 1154
root     24472  7.0  0.6  49620 14152 pts/19   S+   10:26  37:31 ./EXEfile 1490868916 Source.cpp main 883
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  40:01 ./EXEfile 1490870700 Source.cpp main 1073
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  40:01 ./EXEfile 1490870700 Source.cpp main 1081
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  40:02 ./EXEfile 1490870717 Source.cpp main 1154
root     24472  7.1  0.6  49620 14152 pts/19   S+   10:26  40:02 ./EXEfile 1490870717 Source.cpp main 883
root     24472  7.2  0.6  49620 14152 pts/19   S+   10:26  42:35 ./EXEfile 1490872500 Source.cpp main 1073
root     24472  7.2  0.6  49620 14152 pts/19   S+   10:26  42:35 ./EXEfile 1490872500 Source.cpp main 1081
root     24472  7.2  0.6  49620 14152 pts/19   S+   10:26  42:36 ./EXEfile 1490872518 Source.cpp main 1154
root     24472  7.2  0.6  49620 14152 pts/19   S+   10:26  42:36 ./EXEfile 1490872518 Source.cpp main 883
root     24472  7.2  0.6  49620 14152 pts/19   S+   10:26  44:57 ./EXEfile 1490874300 Source.cpp main 1073
root     24472  7.2  0.6  49620 14152 pts/19   S+   10:26  44:57 ./EXEfile 1490874300 Source.cpp main 1081
root     24472  7.2  0.6  49620 14152 pts/19   S+   10:26  44:58 ./EXEfile 1490874318 Source.cpp main 1154
root     24472  7.2  0.6  49620 14152 pts/19   S+   10:26  44:58 ./EXEfile 1490874318 Source.cpp main 883
root     24472  7.3  0.6  49620 14152 pts/19   S+   10:26  47:35 ./EXEfile 1490876100 Source.cpp main 1073
root     24472  7.3  0.6  49620 14152 pts/19   S+   10:26  47:35 ./EXEfile 1490876100 Source.cpp main 1081
root     24472  7.3  0.6  49228 13848 pts/19   S+   10:26  47:36 ./EXEfile 1490876118 Source.cpp main 1154
root     24472  7.3  0.6  49228 13848 pts/19   S+   10:26  47:36 ./EXEfile 1490876118 Source.cpp main 883
root     24472  7.4  0.6  49228 13852 pts/19   S+   10:26  50:14 ./EXEfile 1490877900 Source.cpp main 1073
root     24472  7.4  0.6  49228 14008 pts/19   S+   10:26  50:14 ./EXEfile 1490877900 Source.cpp main 1081
root     24472  7.4  0.6  49228 14008 pts/19   S+   10:26  50:14 ./EXEfile 1490877919 Source.cpp main 1154
root     24472  7.4  0.6  49228 14008 pts/19   S+   10:26  50:14 ./EXEfile 1490877919 Source.cpp main 883
root     24472  7.4  0.6  49492 14168 pts/19   S+   10:26  52:43 ./EXEfile 1490879700 Source.cpp main 1073
root     24472  7.4  0.6  49492 14168 pts/19   S+   10:26  52:43 ./EXEfile 1490879700 Source.cpp main 1081
root     24472  7.4  0.6  50456 14172 pts/19   S+   10:26  52:43 ./EXEfile 1490879717 Source.cpp main 1154
root     24472  7.4  0.6  50456 14172 pts/19   S+   10:26  52:43 ./EXEfile 1490879717 Source.cpp main 883
root     24472  7.5  0.7  50456 15660 pts/19   S+   10:26  55:33 ./EXEfile 1490881500 Source.cpp main 1073
root     24472  7.5  0.7  50456 15660 pts/19   S+   10:26  55:33 ./EXEfile 1490881500 Source.cpp main 1081
root     24472  7.5  0.7  50456 15660 pts/19   S+   10:26  55:33 ./EXEfile 1490881518 Source.cpp main 1154
root     24472  7.5  0.7  50456 15660 pts/19   S+   10:26  55:33 ./EXEfile 1490881518 Source.cpp main 883
root     24472  7.6  0.7  50456 15660 pts/19   S+   10:26  58:36 ./EXEfile 1490883300 Source.cpp main 1073
root     24472  7.6  0.7  50456 15660 pts/19   S+   10:26  58:36 ./EXEfile 1490883300 Source.cpp main 1081
root     24472  7.6  0.7  50456 15660 pts/19   S+   10:26  58:36 ./EXEfile 1490883319 Source.cpp main 1154
root     24472  7.6  0.7  50456 15660 pts/19   S+   10:26  58:36 ./EXEfile 1490883319 Source.cpp main 883
root     24472  7.7  0.7  50456 15660 pts/19   S+   10:26  61:40 ./EXEfile 1490885100 Source.cpp main 1073
root     24472  7.7  0.7  50456 15660 pts/19   S+   10:26  61:40 ./EXEfile 1490885100 Source.cpp main 1081
root     24472  7.7  0.7  50456 15660 pts/19   S+   10:26  61:40 ./EXEfile 1490885118 Source.cpp main 1154
root     24472  7.7  0.7  50456 15660 pts/19   S+   10:26  61:40 ./EXEfile 1490885118 Source.cpp main 883
root     24472  7.8  0.7  50456 15660 pts/19   S+    3月30  65:01 ./EXEfile 1490886900 Source.cpp main 1073
root     24472  7.8  0.7  50456 15660 pts/19   S+    3月30  65:01 ./EXEfile 1490886900 Source.cpp main 1081
root     24472  7.8  0.7 197920 15660 pts/19   Sl+   3月30  65:02 ./EXEfile 1490886954 Source.cpp main 1154
root     24472  7.8  0.7 197920 15660 pts/19   Sl+   3月30  65:02 ./EXEfile 1490886954 Source.cpp main 883
root     24472  7.9  0.7 206116 16180 pts/19   S+    3月30  68:03 ./EXEfile 1490888700 Source.cpp main 1073
root     24472  7.9  0.7 206116 16180 pts/19   S+    3月30  68:03 ./EXEfile 1490888700 Source.cpp main 1081
root     24472  7.9  0.7 206116 16180 pts/19   S+    3月30  68:04 ./EXEfile 1490888718 Source.cpp main 1154
root     24472  7.9  0.7 206116 16180 pts/19   S+    3月30  68:04 ./EXEfile 1490888718 Source.cpp main 883
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  71:17 ./EXEfile 1490890500 Source.cpp main 1073
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  71:17 ./EXEfile 1490890500 Source.cpp main 1081
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  71:18 ./EXEfile 1490890518 Source.cpp main 1154
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  71:18 ./EXEfile 1490890518 Source.cpp main 883
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  73:59 ./EXEfile 1490892300 Source.cpp main 1073
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  73:59 ./EXEfile 1490892300 Source.cpp main 1081
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  74:00 ./EXEfile 1490892318 Source.cpp main 1154
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  74:00 ./EXEfile 1490892318 Source.cpp main 883
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  76:30 ./EXEfile 1490894100 Source.cpp main 1073
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  76:30 ./EXEfile 1490894100 Source.cpp main 1081
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  76:30 ./EXEfile 1490894118 Source.cpp main 1154
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  76:30 ./EXEfile 1490894118 Source.cpp main 883
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  78:49 ./EXEfile 1490895900 Source.cpp main 1073
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  78:49 ./EXEfile 1490895900 Source.cpp main 1081
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  78:49 ./EXEfile 1490895917 Source.cpp main 1154
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  78:49 ./EXEfile 1490895917 Source.cpp main 883
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  81:35 ./EXEfile 1490897700 Source.cpp main 1073
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  81:35 ./EXEfile 1490897700 Source.cpp main 1081
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  81:35 ./EXEfile 1490897717 Source.cpp main 1154
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  81:35 ./EXEfile 1490897717 Source.cpp main 883
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  84:33 ./EXEfile 1490899500 Source.cpp main 1073
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  84:33 ./EXEfile 1490899500 Source.cpp main 1081
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  84:33 ./EXEfile 1490899645 Source.cpp main 1154
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  84:33 ./EXEfile 1490899645 Source.cpp main 883
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  86:50 ./EXEfile 1490901300 Source.cpp main 1073
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  86:50 ./EXEfile 1490901300 Source.cpp main 1081
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  86:50 ./EXEfile 1490901316 Source.cpp main 1154
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  86:50 ./EXEfile 1490901316 Source.cpp main 883
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  89:12 ./EXEfile 1490903100 Source.cpp main 1073
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  89:12 ./EXEfile 1490903100 Source.cpp main 1081
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  89:13 ./EXEfile 1490903117 Source.cpp main 1154
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  89:13 ./EXEfile 1490903117 Source.cpp main 883
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  91:26 ./EXEfile 1490904900 Source.cpp main 1073
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  91:26 ./EXEfile 1490904900 Source.cpp main 1081
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  91:26 ./EXEfile 1490904917 Source.cpp main 1154
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30  91:26 ./EXEfile 1490904917 Source.cpp main 883
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  93:45 ./EXEfile 1490906700 Source.cpp main 1073
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  93:45 ./EXEfile 1490906700 Source.cpp main 1081
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  93:45 ./EXEfile 1490906717 Source.cpp main 1154
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  93:45 ./EXEfile 1490906717 Source.cpp main 883
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  96:02 ./EXEfile 1490908500 Source.cpp main 1073
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  96:02 ./EXEfile 1490908500 Source.cpp main 1081
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  96:02 ./EXEfile 1490908516 Source.cpp main 1154
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  96:02 ./EXEfile 1490908516 Source.cpp main 883
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  98:21 ./EXEfile 1490910300 Source.cpp main 1073
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  98:21 ./EXEfile 1490910300 Source.cpp main 1081
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  98:22 ./EXEfile 1490910316 Source.cpp main 1154
root     24472  8.0  0.7 206116 16180 pts/19   S+    3月30  98:22 ./EXEfile 1490910316 Source.cpp main 883
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 101:11 ./EXEfile 1490912100 Source.cpp main 1073
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 101:11 ./EXEfile 1490912100 Source.cpp main 1081
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 101:11 ./EXEfile 1490912117 Source.cpp main 1154
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 101:11 ./EXEfile 1490912117 Source.cpp main 883
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 104:10 ./EXEfile 1490913900 Source.cpp main 1073
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 104:10 ./EXEfile 1490913900 Source.cpp main 1081
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 104:10 ./EXEfile 1490913918 Source.cpp main 1154
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 104:10 ./EXEfile 1490913918 Source.cpp main 883
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 106:32 ./EXEfile 1490915700 Source.cpp main 1073
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 106:32 ./EXEfile 1490915700 Source.cpp main 1081
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 106:32 ./EXEfile 1490915716 Source.cpp main 1154
root     24472  8.1  0.7 206116 16180 pts/19   S+    3月30 106:32 ./EXEfile 1490915716 Source.cpp main 883
